t,imu_roll,imu_pitch,pid_roll,pid_pitch
1779027064.1514,-0.011975,-0.010635,0.003549,0.002166
1779027064.1583,-0.012103,-0.010508,0.002792,0.001674
1779027064.1653,-0.012017,-0.010234,0.002010,0.001092
1779027064.1727,-0.011811,-0.009999,0.001584,0.001242
1779027064.1796,-0.011498,-0.009783,0.001083,0.001207
1779027064.1861,-0.011090,-0.009580,0.000576,0.001175
1779027064.1931,-0.010581,-0.009406,0.000206,0.001289
1779027064.2070,-0.009994,-0.009233,0.000870,0.001577
1779027064.2139,-0.009341,-0.009063,-0.000555,0.001243
1779027064.2209,-0.008631,-0.008897,-0.000896,0.001225
1779027064.2284,-0.007873,-0.008734,-0.001008,0.001251
1779027064.2352,-0.007074,-0.008573,-0.001598,0.001170
1779027064.2417,-0.006243,-0.008415,-0.002012,0.001125
1779027064.2487,-0.005384,-0.008261,-0.002074,0.001148
1779027064.2556,-0.004507,-0.008109,-0.002321,0.001124
1779027064.2626,-0.003616,-0.007957,-0.002546,0.001098
1779027064.2696,-0.002716,-0.007807,-0.002756,0.001077
1779027064.2765,-0.001798,-0.007672,-0.003011,0.001100
1779027064.2835,-0.000878,-0.007531,-0.003196,0.001055
1779027064.2902,0.000041,-0.007385,-0.003475,0.000998
1779027064.2974,0.000956,-0.007237,-0.003453,0.000985
1779027064.3043,0.001863,-0.007083,-0.003701,0.000925
1779027064.3113,0.002761,-0.006922,-0.003836,0.000867
1779027064.3182,0.003662,-0.006751,-0.004048,0.000795
1779027064.3252,0.004557,-0.006589,-0.004202,0.000800
1779027064.3321,0.005446,-0.006443,-0.004339,0.000829
1779027064.3395,0.006325,-0.006313,-0.004316,0.000890
1779027064.3460,0.007196,-0.006196,-0.004858,0.000855
1779027064.3530,0.008058,-0.006087,-0.004784,0.000891
1779027064.3599,0.008912,-0.005980,-0.004923,0.000883
1779027064.3669,0.009600,-0.005932,-0.004472,0.001081
1779027064.3738,0.010120,-0.005975,-0.003973,0.001423
1779027064.3808,0.010472,-0.006130,-0.003437,0.001852
1779027064.3877,0.010744,-0.006208,-0.003206,0.001597
1779027064.3947,0.010798,-0.006168,-0.002438,0.001162
1779027064.4016,0.010719,-0.006182,-0.001945,0.001362
1779027064.4086,0.010522,-0.006216,-0.001479,0.001443
1779027064.4155,0.010219,-0.006259,-0.001044,0.001482
1779027064.4225,0.009824,-0.006309,-0.000633,0.001523
1779027064.4294,0.009346,-0.006366,-0.000239,0.001557
1779027064.4370,0.008794,-0.006428,-0.000029,0.001572
1779027064.4438,0.008160,-0.006479,0.000610,0.001563
1779027064.4503,0.007466,-0.006539,0.001094,0.001624
1779027064.4572,0.006724,-0.006607,0.001211,0.001648
1779027064.4642,0.005941,-0.006681,0.001535,0.001688
1779027064.4711,0.005125,-0.006761,0.001813,0.001727
1779027064.4781,0.004283,-0.006847,0.002071,0.001766
1779027064.4855,0.003423,-0.006938,0.002130,0.001786
1779027064.4931,0.002549,-0.007035,0.002267,0.001815
1779027064.4990,0.001667,-0.007136,0.003295,0.001945
1779027064.5065,0.000782,-0.007242,0.002694,0.001894
1779027064.5131,-0.000104,-0.007351,0.003245,0.001977
1779027064.5203,-0.001001,-0.007451,0.003239,0.001932
1779027064.5271,-0.001908,-0.007568,0.003621,0.002041
1779027064.5350,-0.002812,-0.007687,0.003314,0.002013
1779027064.5407,-0.003712,-0.007809,0.004605,0.002195
1779027064.5481,-0.004601,-0.007935,0.003814,0.002111
1779027064.5546,-0.005481,-0.008072,0.004409,0.002249
1779027064.5615,-0.006350,-0.008228,0.004295,0.002308
1779027064.5685,-0.007208,-0.008409,0.004439,0.002441
1779027064.5824,-0.008055,-0.008615,0.003042,0.002200
1779027064.5893,-0.008892,-0.008839,0.004698,0.002684
1779027064.5963,-0.009718,-0.009078,0.004823,0.002785
1779027064.6032,-0.010532,-0.009327,0.004944,0.002871
1779027064.6171,-0.011190,-0.009649,0.003339,0.002626
1779027064.6241,-0.011767,-0.009875,0.004347,0.002905
1779027064.6310,-0.012270,-0.010042,0.004182,0.002728
1779027064.6380,-0.012553,-0.010110,0.003454,0.002388
1779027064.6456,-0.012620,-0.010045,0.002668,0.001921
1779027064.6523,-0.012475,-0.009833,0.001880,0.001297
1779027064.6593,-0.012210,-0.009660,0.001421,0.001438
1779027064.6668,-0.011821,-0.009522,0.001008,0.001578
1779027064.6732,-0.011335,-0.009394,0.000296,0.001504
1779027064.6870,-0.010763,-0.009272,0.001059,0.001768
1779027064.6936,-0.010116,-0.009156,-0.000511,0.001523
1779027064.7006,-0.009404,-0.009047,-0.000702,0.001557
1779027064.7075,-0.008635,-0.008942,-0.001134,0.001546
1779027064.7144,-0.007817,-0.008843,-0.001438,0.001551
1779027064.7214,-0.006959,-0.008750,-0.001748,0.001553
1779027064.7283,-0.006066,-0.008661,-0.002055,0.001554
1779027064.7353,-0.005147,-0.008576,-0.002330,0.001554
1779027064.7422,-0.004206,-0.008496,-0.002593,0.001555
1779027064.7503,-0.003235,-0.008434,-0.002400,0.001642
1779027064.7562,-0.002250,-0.008369,-0.003831,0.001544
1779027064.7631,-0.001257,-0.008305,-0.003380,0.001578
1779027064.7770,-0.000261,-0.008241,-0.001792,0.001685
1779027064.7840,0.000736,-0.008174,-0.003780,0.001549
1779027064.7909,0.001743,-0.008096,-0.004013,0.001495
1779027064.7979,0.002748,-0.008022,-0.004228,0.001492
1779027064.8048,0.003750,-0.007945,-0.004407,0.001473
1779027064.8118,0.004746,-0.007873,-0.004583,0.001473
1779027064.8187,0.005736,-0.007811,-0.004763,0.001500
1779027064.8257,0.006718,-0.007765,-0.004930,0.001551
1779027064.8326,0.007693,-0.007742,-0.005102,0.001629
1779027064.8396,0.008662,-0.007737,-0.005277,0.001693
1779027064.8465,0.009624,-0.007745,-0.005445,0.001743
1779027064.8541,0.010580,-0.007761,-0.005331,0.001774
1779027064.8608,0.011376,-0.007838,-0.005285,0.002021
1779027064.8674,0.012006,-0.008008,-0.004881,0.002424
1779027064.8743,0.012471,-0.008290,-0.004234,0.002841
1779027064.8817,0.012858,-0.008495,-0.003952,0.002565
1779027064.8882,0.013029,-0.008585,-0.003334,0.002240
1779027064.8952,0.012980,-0.008531,-0.002495,0.001686
1779027064.9021,0.012799,-0.008512,-0.001987,0.001812
1779027064.9091,0.012499,-0.008507,-0.001503,0.001861
1779027064.9160,0.012096,-0.008508,-0.001048,0.001887
1779027064.9230,0.011599,-0.008514,-0.000613,0.001907
1779027064.9299,0.011019,-0.008524,-0.000202,0.001923
1779027064.9369,0.010365,-0.008537,0.000191,0.001938
1779027064.9438,0.009646,-0.008552,0.000564,0.001952
1779027064.9508,0.008871,-0.008570,0.000918,0.001967
1779027064.9584,0.008049,-0.008591,0.001006,0.001976
1779027064.9647,0.007187,-0.008614,0.001861,0.002005
1779027064.9717,0.006293,-0.008641,0.001882,0.002017
1779027064.9786,0.005373,-0.008669,0.002146,0.002031
1779027064.9855,0.004417,-0.008684,0.002459,0.001984
1779027064.9925,0.003441,-0.008707,0.002722,0.002022
1779027064.9994,0.002439,-0.008746,0.003025,0.002087
1779027065.0064,0.001425,-0.008783,0.003261,0.002090
1779027065.0133,0.000404,-0.008821,0.003496,0.002103
1779027065.0204,-0.000618,-0.008860,0.003637,0.002114
1779027065.0273,-0.001638,-0.008901,0.003962,0.002133
1779027065.0342,-0.002654,-0.008942,0.004091,0.002143
1779027065.0412,-0.003665,-0.008982,0.004272,0.002147
1779027065.0481,-0.004671,-0.009029,0.004457,0.002183
1779027065.0626,-0.005670,-0.009089,0.002761,0.002134
1779027065.0690,-0.006674,-0.009158,0.005210,0.002317
1779027065.0759,-0.007674,-0.009256,0.005035,0.002418
1779027065.0829,-0.008671,-0.009377,0.005235,0.002529
1779027065.0898,-0.009664,-0.009517,0.005416,0.002626
1779027065.0968,-0.010653,-0.009671,0.005603,0.002710
1779027065.1037,-0.011490,-0.009899,0.005227,0.003020
1779027065.1107,-0.012166,-0.010233,0.004776,0.003471
1779027065.1176,-0.012760,-0.010497,0.004612,0.003274
1779027065.1246,-0.013124,-0.010660,0.003860,0.002948
1779027065.1315,-0.013267,-0.010695,0.003090,0.002492
1779027065.1385,-0.013193,-0.010584,0.002302,0.001951
1779027065.1459,-0.012993,-0.010504,0.001856,0.002065
1779027065.1524,-0.012677,-0.010433,0.001245,0.002049
1779027065.1678,-0.012259,-0.010369,0.001711,0.002208
1779027065.1838,-0.011749,-0.010307,0.001492,0.002208
1779027065.1993,-0.011157,-0.010246,0.001228,0.002199
1779027065.2144,-0.010493,-0.010186,0.000947,0.002188
1779027065.2305,-0.009765,-0.010125,0.000775,0.002185
1779027065.2461,-0.008983,-0.010063,0.000498,0.002172
1779027065.2617,-0.008117,-0.010001,0.000201,0.002164
1779027065.2778,-0.007204,-0.009939,-0.000017,0.002158
1779027065.2933,-0.006252,-0.009877,-0.000311,0.002147
1779027065.3123,-0.005270,-0.009815,-0.000274,0.002157
1779027065.3294,-0.004267,-0.009752,-0.000642,0.002137
1779027065.3454,-0.003247,-0.009686,-0.000975,0.002118
1779027065.3624,-0.002217,-0.009618,-0.001091,0.002112
1779027065.3776,-0.001181,-0.009547,-0.001497,0.002084
1779027065.3959,-0.000143,-0.009474,-0.001416,0.002090
1779027065.4131,0.000894,-0.009397,-0.001713,0.002067
1779027065.4297,0.001927,-0.009316,-0.001969,0.002044
1779027065.4457,0.002980,-0.009229,-0.002278,0.002017
1779027065.4624,0.004032,-0.009137,-0.002406,0.002001
1779027065.4796,0.005083,-0.009045,-0.002585,0.001990
1779027065.4949,0.006130,-0.008960,-0.002965,0.001972
1779027065.5101,0.007174,-0.008890,-0.003194,0.001984
1779027065.5288,0.008216,-0.008830,-0.003079,0.002012
1779027065.5441,0.009254,-0.008777,-0.003595,0.001997
1779027065.5630,0.010290,-0.008725,-0.003474,0.002010
1779027065.5785,0.011166,-0.008726,-0.003701,0.002083
1779027065.5969,0.011882,-0.008814,-0.003413,0.002223
1779027065.6123,0.012436,-0.009006,-0.003447,0.002456
1779027065.6276,0.012912,-0.009130,-0.003434,0.002377
1779027065.6446,0.013174,-0.009147,-0.003095,0.002205
1779027065.6603,0.013220,-0.009025,-0.002797,0.001966
1779027065.6758,0.013133,-0.008939,-0.002573,0.002007
1779027065.6910,0.012927,-0.008866,-0.002337,0.002016
1779027065.7067,0.012615,-0.008801,-0.002124,0.002022
1779027065.7225,0.012187,-0.008722,-0.001860,0.001988
1779027065.7383,0.011671,-0.008653,-0.001623,0.001992
1779027065.7542,0.011059,-0.008605,-0.001357,0.002021
1779027065.7704,0.010376,-0.008556,-0.001137,0.002014
1779027065.7863,0.009631,-0.008506,-0.000872,0.002005
1779027065.8016,0.008836,-0.008456,-0.000592,0.001996
1779027065.8173,0.007997,-0.008407,-0.000389,0.001992
1779027065.8331,0.007123,-0.008359,-0.000163,0.001987
1779027065.8488,0.006221,-0.008311,0.000061,0.001982
1779027065.8645,0.005298,-0.008264,0.000279,0.001977
1779027065.8798,0.004340,-0.008201,0.000565,0.001938
1779027065.8952,0.003368,-0.008142,0.000768,0.001939
1779027065.9111,0.002386,-0.008088,0.000931,0.001939
